finding_count_total,finding_count_bug,finding_count_security,finding_count_code_smell,finding_count_high_severity,finding_count_medium_severity,finding_count_low_severity,bandit_finding_count,semgrep_finding_count,cyclomatic_complexity_max,cyclomatic_complexity_avg,maintainability_index,nesting_depth_max,sloc,function_length_max,function_length_avg,dangerous_sink_count,hardcoded_secret_count,import_risk_flag,has_test_file,label
2,0,1,1,1,0,1,2,0,5.0,4.77,19.94,4,97,27,22.0,1,0,1,0,high
3,0,3,0,1,2,0,1,2,8.0,4.25,43.62,6,46,67,67.0,1,0,0,0,critical
1,0,0,1,0,0,1,1,0,5.0,3.67,32.01,3,45,0,0.0,0,0,1,0,low
2,0,1,1,0,0,2,0,2,2.0,1.35,55.57,3,8,19,9.666666666666666,0,0,0,0,low
1,0,1,0,0,0,1,1,0,5.0,4.39,72.07,1,19,22,17.0,0,0,0,0,low
4,1,2,1,1,1,2,1,3,9.0,7.01,48.43,3,46,48,47.5,1,0,0,0,critical
2,0,2,0,2,0,0,1,1,13.0,6.67,10.87,4,40,20,20.0,0,0,0,0,high
3,0,3,0,0,1,2,0,3,8.0,4.24,55.12,3,17,35,21.333333333333332,0,0,0,0,medium
2,0,2,0,0,0,2,0,2,5.0,4.87,37.45,0,9,0,0.0,0,0,0,0,low
4,0,4,0,2,0,2,1,3,19.0,14.94,41.98,7,78,46,40.5,1,0,0,0,critical
4,0,3,1,2,1,1,2,2,15.0,8.48,73.93,5,64,56,50.666666666666664,1,0,1,0,critical
5,1,4,0,3,2,0,3,2,17.0,16.66,17.44,5,84,59,59.0,1,0,0,0,critical
1,0,0,1,0,0,1,1,0,3.0,2.62,42.08,2,16,24,19.0,0,0,0,0,low
3,1,1,1,0,2,1,0,3,3.0,1.75,50.92,4,68,36,23.5,0,0,0,0,medium
2,0,1,1,0,0,2,1,1,6.0,4.07,32.68,3,45,27,21.5,0,0,0,0,low
4,2,2,0,2,2,0,3,1,11.0,9.7,38.21,3,86,38,38.0,0,0,0,0,high
4,0,2,2,0,2,2,2,2,8.0,5.59,82.09,1,36,20,20.0,0,0,0,0,medium
1,0,1,0,0,0,1,0,1,2.0,1.24,36.01,3,50,6,6.0,0,0,0,0,low
1,0,1,0,0,1,0,0,1,5.0,4.58,43.25,1,16,36,30.333333333333332,0,0,0,0,medium
2,0,2,0,2,0,0,2,0,10.0,6.45,33.95,2,69,50,32.666666666666664,1,0,1,0,high
4,2,0,2,0,2,2,2,2,10.0,9.03,81.99,2,49,37,37.0,0,0,0,0,medium
4,0,4,0,3,1,0,3,1,15.0,10.74,68.98,7,126,34,34.0,2,0,0,0,critical
3,2,1,0,0,2,1,2,1,4.0,3.09,40.69,1,77,27,27.0,0,0,1,0,medium
3,0,3,0,2,1,0,1,2,11.0,7.92,29.07,3,48,37,35.0,2,0,0,0,critical
1,0,1,0,0,0,1,0,1,3.0,2.33,80.64,1,6,30,19.666666666666668,0,0,0,0,low
6,0,5,1,3,2,1,2,4,10.0,8.91,37.08,4,38,50,43.0,1,0,0,0,critical
5,0,4,1,1,2,2,4,1,17.0,13.65,82.28,6,57,69,47.333333333333336,1,0,1,0,critical
0,0,0,0,0,0,0,0,0,5.0,4.01,56.13,3,48,24,24.0,0,0,0,0,low
2,0,1,1,0,0,2,2,0,4.0,2.25,63.41,3,5,0,0.0,0,0,0,0,low
5,1,4,0,2,2,1,5,0,14.0,12.02,79.94,3,63,45,38.25,1,0,1,0,high
3,1,1,1,0,1,2,1,2,7.0,6.92,41.42,1,63,21,20.0,0,0,1,0,medium
1,1,0,0,0,1,0,1,0,4.0,2.79,72.16,1,57,16,14.0,0,0,0,0,medium
1,0,1,0,0,0,1,0,1,2.0,1.53,12.44,1,30,12,12.0,0,0,1,0,low
5,0,5,0,2,2,1,2,3,14.0,9.69,55.54,6,150,66,66.0,0,0,0,0,critical
2,0,1,1,1,0,1,0,2,12.0,6.36,58.18,4,21,24,24.0,0,3,0,0,high
4,0,4,0,0,2,2,3,1,3.0,1.74,28.97,1,54,28,28.0,0,0,0,0,medium
3,0,1,2,1,0,2,1,2,5.0,4.16,23.27,3,88,60,42.0,0,1,0,0,high
3,0,3,0,1,0,2,1,2,13.0,10.67,66.48,2,67,50,31.0,0,1,0,0,high
2,0,2,0,1,0,1,1,1,14.0,7.23,64.47,4,47,52,39.666666666666664,0,0,0,0,high
2,0,2,0,0,0,2,2,0,4.0,3.5,25.59,1,48,15,15.0,0,0,0,0,low
1,0,1,0,1,0,0,0,1,13.0,8.14,33.36,3,92,46,46.0,1,0,0,0,high
0,0,0,0,0,0,0,0,0,4.0,3.49,21.92,0,44,0,0.0,0,0,0,0,low
4,0,3,1,1,2,1,3,1,13.0,8.47,70.86,2,21,52,38.333333333333336,0,0,0,0,high
3,1,2,0,1,1,1,2,1,19.0,17.03,49.96,3,131,61,46.666666666666664,0,0,0,0,critical
6,1,4,1,2,2,2,2,4,13.0,9.74,48.6,7,149,68,43.333333333333336,0,0,0,0,critical
3,1,1,1,1,1,1,3,0,18.0,15.62,20.5,5,118,76,52.25,0,0,0,0,critical
2,1,1,0,1,1,0,1,1,9.0,4.95,13.6,5,97,58,50.0,0,0,1,0,critical
1,0,1,0,0,0,1,0,1,1.0,0.63,28.93,3,42,22,22.0,0,0,0,0,low
4,1,3,0,1,1,2,2,2,18.0,16.02,67.57,7,82,75,75.0,0,0,0,0,critical
2,0,2,0,0,1,1,1,1,7.0,6.02,35.65,4,25,29,21.333333333333332,0,0,0,0,medium
4,3,1,0,0,3,1,2,2,8.0,6.73,63.18,1,40,32,31.0,0,0,1,0,medium
6,1,3,2,2,2,2,3,3,19.0,9.52,62.65,5,118,66,48.5,1,0,0,0,critical
2,1,1,0,0,2,0,1,1,7.0,3.67,67.02,1,20,49,29.0,0,0,1,0,medium
2,0,1,1,0,0,2,1,1,5.0,4.63,24.51,0,17,29,29.0,0,0,0,0,low
3,0,3,0,1,1,1,3,0,13.0,12.16,21.57,5,50,68,59.25,1,0,0,0,critical
1,0,1,0,1,0,0,1,0,13.0,12.56,28.42,5,35,49,33.0,1,0,0,0,high
1,0,1,0,0,0,1,1,0,6.0,5.81,78.62,1,40,9,8.0,0,0,0,0,low
3,0,3,0,2,0,1,2,1,20.0,10.84,57.68,4,101,56,50.0,0,0,1,0,critical
4,1,1,2,1,1,2,0,4,11.0,6.82,21.15,3,73,57,40.0,0,1,0,0,high
4,1,3,0,2,2,0,3,1,9.0,8.21,58.44,5,60,53,43.0,1,0,1,0,high
2,0,2,0,1,0,1,1,1,7.0,5.95,16.24,5,23,35,32.0,0,0,0,0,high
2,1,1,0,0,1,1,2,0,6.0,5.88,14.88,1,54,22,15.666666666666666,0,0,1,0,medium
2,0,1,1,0,0,2,0,2,2.0,1.99,53.61,3,49,26,16.5,0,0,0,0,low
4,1,3,0,1,2,1,2,2,7.0,6.93,40.22,2,80,18,18.0,1,0,1,0,high
3,0,2,1,1,0,2,2,1,11.0,9.77,24.9,3,85,58,43.5,0,2,0,0,high
2,1,1,0,1,1,0,0,2,8.0,4.12,19.08,2,89,16,16.0,0,3,0,0,high
4,0,3,1,3,0,1,0,4,16.0,10.65,78.71,3,98,63,59.5,0,0,0,0,critical
2,0,2,0,1,1,0,1,1,15.0,10.82,71.13,6,47,80,75.0,1,0,0,0,critical
5,1,3,1,2,2,1,3,2,15.0,13.24,46.98,4,146,27,27.0,0,0,1,0,critical
1,0,1,0,0,1,0,0,1,6.0,4.1,79.59,1,76,16,15.5,0,0,0,0,medium
4,0,4,0,1,2,1,2,2,13.0,6.86,21.88,2,41,41,41.0,1,0,1,0,high
6,1,4,1,2,2,2,3,3,15.0,8.18,58.47,7,89,67,67.0,1,0,0,0,critical
0,0,0,0,0,0,0,0,0,4.0,3.97,30.73,1,7,0,0.0,0,0,0,0,low
5,1,2,2,2,1,2,2,3,10.0,5.71,73.34,3,75,51,51.0,0,1,0,0,high
3,1,2,0,1,2,0,1,2,18.0,14.47,14.93,6,43,77,41.5,1,0,0,0,critical
2,0,0,2,0,0,2,2,0,2.0,1.25,25.99,1,50,25,17.0,0,0,0,0,low
5,0,3,2,2,1,2,4,1,14.0,7.4,57.37,3,127,77,66.5,1,0,0,0,critical
3,2,1,0,0,3,0,3,0,5.0,4.52,15.23,3,33,38,27.0,0,0,0,0,medium
2,0,1,1,0,1,1,1,1,3.0,2.61,49.06,1,37,34,34.0,0,0,0,0,medium
1,0,1,0,0,0,1,1,0,4.0,3.15,16.77,2,19,0,0.0,0,0,0,0,low
5,0,4,1,2,1,2,1,4,8.0,7.61,46.64,2,29,25,25.0,0,1,0,0,high
1,0,0,1,0,0,1,1,0,6.0,5.61,30.18,0,49,0,0.0,0,0,0,0,low
2,0,0,2,0,0,2,1,1,2.0,1.12,59.95,1,9,23,20.5,0,0,0,0,low
0,0,0,0,0,0,0,0,0,1.0,0.73,32.52,3,22,21,19.0,0,0,0,0,low
3,0,3,0,1,1,1,1,2,9.0,5.15,82.23,5,56,60,53.0,1,0,1,0,high
3,0,3,0,2,1,0,3,0,10.0,8.25,44.03,2,38,59,51.0,0,3,0,0,high
3,3,0,0,0,3,0,2,1,5.0,2.92,26.01,1,48,36,36.0,0,0,0,0,medium
5,1,4,0,0,3,2,2,3,8.0,6.67,71.64,1,26,34,23.0,0,0,0,0,medium
4,2,1,1,1,2,1,1,3,9.0,6.76,56.94,3,53,58,46.666666666666664,1,0,1,0,high
2,1,1,0,1,1,0,2,0,6.0,3.91,51.49,4,74,55,55.0,1,0,1,0,high
2,0,2,0,0,0,2,1,1,3.0,2.87,51.92,0,34,0,0.0,0,0,0,0,low
5,1,2,2,0,3,2,3,2,10.0,5.61,29.11,3,38,29,19.5,0,0,1,0,medium
2,0,2,0,0,2,0,0,2,5.0,3.45,35.94,2,19,22,22.0,0,0,0,0,medium
1,0,1,0,0,0,1,0,1,1.0,0.82,51.94,1,28,24,18.0,0,0,0,0,low
5,0,4,1,1,2,2,2,3,7.0,6.14,15.03,3,34,55,54.0,1,0,1,0,high
6,2,4,0,3,2,1,2,4,9.0,7.83,19.45,7,34,66,58.666666666666664,0,0,1,0,critical
2,0,2,0,2,0,0,1,1,5.0,3.23,71.58,5,64,56,42.5,1,0,1,0,high
2,0,2,0,1,1,0,1,1,6.0,5.61,34.38,3,63,56,31.5,1,0,1,0,high
6,1,4,1,2,2,2,3,3,11.0,8.62,11.81,5,100,28,28.0,1,0,1,0,high
5,0,4,1,2,1,2,4,1,9.0,7.14,62.37,5,92,31,31.0,1,0,0,0,high
1,0,1,0,0,0,1,0,1,1.0,0.71,49.82,0,14,0,0.0,0,0,0,0,low
6,1,4,1,2,2,2,2,4,18.0,16.68,18.0,5,84,74,47.25,1,0,0,0,critical
7,2,5,0,3,2,2,4,3,16.0,9.95,31.37,4,63,76,58.666666666666664,2,0,0,0,critical
4,1,2,1,0,2,2,2,2,8.0,7.76,38.34,4,69,29,24.5,0,0,0,0,medium
2,0,1,1,1,0,1,0,2,8.0,5.95,44.98,2,38,43,37.0,1,0,1,0,high
2,0,1,1,1,0,1,1,1,15.0,11.12,32.16,7,128,42,31.5,0,0,0,0,critical
0,0,0,0,0,0,0,0,0,6.0,3.97,72.81,1,15,0,0.0,0,0,0,0,low
4,0,3,1,2,1,1,2,2,12.0,9.89,20.8,4,141,24,22.0,2,0,0,0,critical
4,1,3,0,0,3,1,2,2,10.0,8.8,76.06,4,37,47,47.0,0,0,0,0,medium
3,1,0,2,0,1,2,3,0,7.0,3.67,57.13,4,36,45,40.5,0,0,1,0,medium
1,0,0,1,0,0,1,0,1,6.0,5.73,60.15,1,35,30,17.5,0,0,0,0,low
1,0,1,0,0,0,1,0,1,6.0,5.03,17.46,3,35,5,5.0,0,0,0,0,low
4,0,3,1,1,1,2,2,2,10.0,8.86,12.2,4,77,76,56.333333333333336,1,0,0,0,critical
3,0,2,1,2,0,1,2,1,8.0,4.67,67.34,5,87,69,68.5,0,0,0,0,critical
3,1,2,0,0,3,0,2,1,4.0,2.2,62.61,3,32,32,27.5,0,0,0,0,medium
3,2,1,0,0,2,1,1,2,3.0,2.87,61.65,3,32,44,24.333333333333332,0,0,0,0,medium
2,0,1,1,0,0,2,0,2,2.0,1.75,84.41,2,49,11,11.0,0,0,1,0,low
3,0,3,0,2,0,1,1,2,7.0,5.22,64.71,3,78,51,39.0,1,0,0,0,high
6,0,4,2,2,2,2,4,2,11.0,7.82,14.89,2,80,59,50.333333333333336,0,0,0,0,high
3,0,2,1,0,1,2,1,2,10.0,7.77,39.07,2,31,47,33.0,0,0,0,0,medium
1,0,0,1,0,0,1,0,1,2.0,1.1,32.2,3,42,0,0.0,0,0,0,0,low
4,1,3,0,2,2,0,1,3,17.0,11.31,74.56,5,63,78,58.75,1,0,0,0,critical
2,0,1,1,0,0,2,1,1,3.0,2.66,78.24,2,25,0,0.0,0,0,0,0,low
1,0,1,0,1,0,0,1,0,10.0,9.42,29.9,2,70,26,21.5,1,0,1,0,high
